,text
0,Xilonze@xilonze·7h73991.3K77K
1,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
2,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
3,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
4,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
5,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
6,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
7,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
8,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
9,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
10,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
11,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
12,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
13,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
14,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
15,Xilonze@xilonze·7h73991.3K77K
16,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
17,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
18,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
19,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
20,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
21,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
22,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
23,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
24,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
25,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
26,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
27,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
28,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
29,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
30,Xilonze@xilonze·7h73991.3K77K
31,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
32,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
33,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
34,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
35,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
36,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
37,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
38,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
39,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
